"team","id","name","photo_url","position","evaluation"
"cruzeiro","raniel","Raniel","https://s.glbimg.com/es/sde/f/2017/04/06/b362899a01b537ee09468f95d34f40f7_80x80.png","ATA","3"
"cruzeiro","sassa","Sassá","https://s.glbimg.com/es/sde/f/2017/06/22/e7d5b223d7908854c81e04f0e7e0fcc0_80x80.png","ATA","3"
"cruzeiro","digao","Digão","https://s.glbimg.com/es/sde/f/2017/08/10/45b089a35e467b5f5cc0a9d46a380b7a_80x80.png","ZAD","4"
"corinthians","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/03/19/dbcf7ccb715fd30000de63618da5c89b_80x80.png","GOL","1"
"corinthians","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2018/03/20/c125fa08820e1bbf4a2640e7108b05d2_80x80.png","MEC","1"
"corinthians","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_80x80.png","MEC","2"
"corinthians","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_80x80.png","LAD","2"
"corinthians","pedrinho","Pedrinho","https://s.glbimg.com/es/sde/f/2018/03/20/647d2f9294de7cfe0e135b44beacdfa9_80x80.png","MEC","3"
"corinthians","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/03/20/8fc5425796ec6ab741dfe1de895adb4b_80x80.png","ZAE","3"
"corinthians","balbuena","Balbuena","https://s.glbimg.com/es/sde/f/2018/03/19/8391694cbff5bcefdd87bc85cc615423_80x80.png","ZAD","2"
"corinthians","maycon","Maycon","https://s.glbimg.com/es/sde/f/2018/03/20/d19a9c4b9d3ba05a024d7f2db30a1583_80x80.png","VOL","3"
"corinthians","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/03/20/f7f3ef2aa7e013b4bf918f93353c9027_80x80.png","VOL","3"
